subnum,trial,group,expression,entropy
2181,18,1,2,11.508591533838
2181,19,1,2,11.3681905654171
2181,20,1,1,11.8224962973916
2181,21,1,2,11.5899143497351
2181,22,1,2,11.1834783439439
2181,23,1,2,11.5442523672201
2181,24,1,1,12.2731241181935
2181,25,1,2,11.3069566126402
2181,26,1,1,11.8735110733622
2181,27,1,1,11.54477638165
2181,28,1,2,11.5995972810924
2181,29,1,1,11.3277153475094
2181,30,1,2,11.8925623202272
2181,31,1,2,11.7573104724385
2181,32,1,2,11.6975170225315
2202,1,2,2,11.4121137952803
2202,2,2,1,11.7033053550272
2202,3,2,2,11.7226296112479
2202,4,2,1,11.5477254324607
2202,5,2,1,11.4633537707044
2202,6,2,1,11.4721785284536
2202,7,2,2,12.0972733664892
2202,8,2,1,11.8015356386813
2202,9,2,2,12.1173004393214
2202,10,2,2,11.3391656851863
2202,11,2,1,12.1703177413178
2202,12,2,1,11.2690827542172
2202,13,2,1,11.8240925072884
2202,14,2,2,11.6990814986657
2202,15,2,1,11.932337538068
2202,16,2,2,11.9005347961389
2202,17,2,1,12.1298220562847
2202,18,2,2,12.3956319906205
2202,19,2,2,11.540622301868
2202,20,2,1,11.6745910861011
2202,21,2,1,11.67686794873
2202,22,2,2,11.7337879063326
2202,23,2,2,11.8693014403188
2202,24,2,2,11.1737889514782
2202,25,2,1,11.68920456017
2202,26,2,1,11.85966446213
2202,27,2,2,11.8425961230979
2202,28,2,2,11.7888433476501
2202,29,2,2,11.5687779870373
2202,30,2,1,11.7952399305452
2202,31,2,1,11.6951629509514
2202,32,2,2,11.5834715685727
2212,1,2,2,11.031443738331
2212,2,2,2,11.1025308235021
2212,3,2,1,11.2456302593465
2212,4,2,1,11.1012386240725
2212,5,2,2,10.7588394467803
2212,6,2,1,11.6216450645196
2212,7,2,2,11.7262879687925
2212,8,2,1,11.5637055256472
2212,9,2,2,11.7624690926705
2212,10,2,1,11.1822600420817
2212,11,2,1,11.3955051798461
2212,12,2,1,11.3713582234582
2212,13,2,2,11.7036008639684
2212,14,2,2,11.4855126989397
2212,15,2,1,11.2374982423848
2212,16,2,1,11.7647445489464
2212,17,2,1,11.9639129687852
2212,18,2,2,11.9117340631364
2212,19,2,1,12.4217846961317
